annee,type,tranche_min,tranche_max,taux
2023,federal,0,53359,0.15
2023,federal,53359,106717,0.205
2023,federal,106717,165430,0.26
2023,federal,165430,235675,0.29
2023,federal,235675,inf,0.33
2023,provincial,0,49295,0.15
2023,provincial,49295,98590,0.20
2023,provincial,98590,119910,0.24
2023,provincial,119910,inf,0.2575
2024,federal,0,55867,0.15
2024,federal,55867,111733,0.205
2024,federal,111733,173205,0.26
2024,federal,173205,246752,0.29
2024,federal,246752,inf,0.33
2024,provincial,0,51780,0.14
2024,provincial,51780,103545,0.19
2024,provincial,103545,126000,0.14
2024,provincial,126000,inf,0.14
2025,federal,0,57375,0.15
2025,federal,57375,114750,0.205
2025,federal,114750,177882,0.26
2025,federal,177882,253414,0.29
2025,federal,253414,inf,0.33
2025,provincial,0,53255,0.14
2025,provincial,53255,106495,0.19
2025,provincial,106495,129590,0.24
2025,provincial,129590,inf,0.2575
